Time	X	Y	Arm
0	-4.8508	-0.758647	0
0.1	-4.38486	-1.23206	0
0.2	-3.93647	-1.87034	0
0.3	-3.92006	-2.43263	0
0.4	-3.27036	-3.95025	0
0.5	-2.91196	-4.67335	0
0.6	-2.77774	-5.61479	-1
0.7	-2.73988	-6.15779	-1
0.8	-2.42808	-7.56929	-1
0.9	-2.37885	-8.44274	-1
1	-2.29801	-10.4551	-1
1.1	-1.93724	-10.8075	-1
1.2	-1.72924	-11.275	-1
1.3	-1.65882	-11.1097	-1
1.4	-1.30942	-11.3588	-1
1.5	-1.12202	-11.7659	-1
1.6	-1.05612	-11.6965	-1
1.7	-1.06122	-11.5117	-1
1.8	-0.797273	-11.4276	-1
1.9	-0.708992	-11.8161	-1
2	-0.838776	-12.7922	-1
2.1	-0.967831	-13.2152	-1
2.2	-1.11346	-15.3041	-1
2.3	-1.2175	-15.1751	-1
2.4	-1.14819	-16.0258	-1
2.5	-1.29417	-16.731	-1
2.6	-1.31751	-17.9388	-1
2.7	-1.19358	-18.4449	-1
2.8	-0.962491	-19.6001	-1
2.9	-0.927596	-19.7273	-1
3	-0.872451	-19.3103	-1
3.1	-0.813218	-19.4649	-1
3.2	-0.579	-21.6779	-1
3.3	-0.793583	-23.1559	-1
3.4	-0.466988	-25.6623	-1
3.5	-0.143217	-26.0005	-1
3.6	 	 	-1
3.7	 	 	-1
3.8	 	 	-1
3.9	 	 	-1
4	 	 	-1
4.1	 	 	-1
4.2	 	 	-1
4.3	 	 	-1
4.4	 	 	-1
4.5	 	 	-1
4.6	 	 	-1
4.7	 	 	-1
4.8	 	 	-1
4.9	 	 	-1
5	 	 	-1
5.1	 	 	-1
5.2	 	 	-1
5.3	 	 	-1
5.4	 	 	-1
5.5	 	 	-1
5.6	 	 	-1
5.7	 	 	-1
5.8	 	 	-1
5.9	 	 	-1
6	 	 	-1
6.1	 	 	-1
6.2	 	 	-1
6.3	 	 	-1
6.4	 	 	-1
6.5	 	 	-1
6.6	 	 	-1
6.7	 	 	-1
6.8	 	 	-1
6.9	 	 	-1
7	 	 	-1
7.1	 	 	-1
7.2	 	 	-1
7.3	 	 	-1
7.4	 	 	-1
7.5	 	 	-1
7.6	 	 	-1
7.7	 	 	-1
7.8	 	 	-1
7.9	 	 	-1
8	 	 	-1
8.1	 	 	-1
8.2	 	 	-1
8.3	 	 	-1
8.4	 	 	-1
8.5	 	 	-1
8.6	 	 	-1
8.7	 	 	-1
8.8	 	 	-1
8.9	 	 	-1
9	 	 	-1
9.1	 	 	-1
9.2	 	 	-1
9.3	 	 	-1
9.4	 	 	-1
9.5	 	 	-1
9.6	 	 	-1
9.7	 	 	-1
9.8	 	 	-1
9.9	 	 	-1
10	 	 	-1
10.1	 	 	-1
10.2	 	 	-1
10.3	 	 	-1
10.4	 	 	-1
10.5	 	 	-1
10.6	 	 	-1
10.7	 	 	-1
10.8	 	 	-1
10.9	 	 	-1
11	1.02884	-25.3485	-1
11.1	1.02226	-24.4801	-1
11.2	0.74402	-22.8215	-1
11.3	0.350741	-22.4962	-1
11.4	0.264476	-22.498	-1
11.5	0.393997	-21.7493	-1
11.6	0.44184	-21.0808	-1
11.7	0.788268	-19.7996	-1
11.8	0.791377	-19.7312	-1
11.9	0.688924	-19.7268	-1
12	0.710153	-19.7177	-1
12.1	0.66965	-19.6898	-1
12.2	0.675419	-19.6801	-1
12.3	0.705185	-19.5956	-1
12.4	0.718447	-19.6405	-1
12.5	0.709239	-19.5391	-1
12.6	0.723802	-19.5947	-1
12.7	0.68358	-19.5019	-1
12.8	0.795486	-19.4429	-1
12.9	0.995536	-19.541	-1
13	1.03924	-20.7034	-1
13.1	0.985025	-20.183	-1
13.2	1.11258	-20.483	-1
