Index	RecordTime	VideoTime	MI
0	0	137.7	9.80607
1	0.1	137.8	7.98624
2	0.2	137.9	8.77347
3	0.3	138	7.3461
4	0.4	138.1	7.80293
5	0.5	138.2	8.94733
6	0.6	138.3	11.9402
7	0.7	138.4	9.7949
8	0.8	138.5	10.4676
9	0.9	138.6	13.053
10	1	138.7	13.9159
11	1.1	138.8	10.3398
12	1.2	138.9	12.6288
13	1.3	139	10.736
14	1.4	139.1	11.821
15	1.5	139.2	8.79203
16	1.6	139.3	11.9895
17	1.7	139.4	9.58991
18	1.8	139.5	9.57633
19	1.9	139.6	12.03
20	2	139.7	11.8357
21	2.1	139.8	9.53532
22	2.2	139.9	9.235
23	2.3	140	10.8641
24	2.4	140.1	9.39898
25	2.5	140.2	12.9056
26	2.6	140.3	10.8603
27	2.7	140.4	11.8548
28	2.8	140.5	11.81
29	2.9	140.6	10.9608
30	3	140.7	10.6618
31	3.1	140.8	9.56182
32	3.2	140.9	12.0135
33	3.3	141	9.53929
34	3.4	141.1	8.00943
35	3.5	141.2	12.4168
36	3.6	141.3	12.2056
37	3.7	141.4	7.86831
38	3.8	141.5	11.5205
39	3.9	141.6	8.78066
40	4	141.7	8.86197
41	4.1	141.8	6.88731
42	4.2	141.9	8.55583
43	4.3	142	7.38426
44	4.4	142.1	8.11054
45	4.5	142.2	7.66708
46	4.6	142.3	9.02512
47	4.7	142.4	6.72042
48	4.8	142.5	8.1493
49	4.9	142.6	7.08953
50	5	142.7	9.02558
51	5.1	142.8	7.66742
52	5.2	142.9	9.37692
53	5.3	143	7.76786
54	5.4	143.1	8.7918
55	5.5	143.2	8.23736
56	5.6	143.3	9.73486
57	5.7	143.4	7.53433
58	5.8	143.5	9.00913
59	5.9	143.6	8.47918
60	6	143.7	9.78266
61	6.1	143.8	7.06611
62	6.2	143.9	8.83005
63	6.3	144	8.32188
64	6.4	144.1	10.3791
65	6.5	144.2	7.59187
66	6.6	144.3	8.30573
67	6.7	144.4	7.8154
68	6.8	144.5	9.09557
69	6.9	144.6	7.72764
70	7	144.7	9.77285
71	7.1	144.8	6.22036
72	7.2	144.9	8.01722
73	7.3	145	6.32147
74	7.4	145.1	8.12314
75	7.5	145.2	6.62451
76	7.6	145.3	7.92927
77	7.7	145.4	6.0788
78	7.8	145.5	8.09865
79	7.9	145.6	7.8758
80	8	145.7	8.4729
81	8.1	145.8	6.84012
82	8.2	145.9	7.53936
83	8.3	146	6.39834
84	8.4	146.1	7.33104
85	8.5	146.2	6.80987
86	8.6	146.3	8.35547
87	8.7	146.4	6.26273
88	8.8	146.5	7.50811
89	8.9	146.6	7.10982
90	9	146.7	8.2426
91	9.1	146.8	7.86819
92	9.2	146.9	8.91074
93	9.3	147	7.12897
94	9.4	147.1	8.60258
95	9.5	147.2	6.76136
96	9.6	147.3	9.85077
97	9.7	147.4	8.37939
98	9.8	147.5	9.93029
99	9.9	147.6	6.73687
100	10	147.7	10.6549
101	10.1	147.8	7.50539
102	10.2	147.9	7.9904
103	10.3	148	7.35497
104	10.4	148.1	7.68579
105	10.5	148.2	6.73929
106	10.6	148.3	8.3472
107	10.7	148.4	7.41016
108	10.8	148.5	8.87218
109	10.9	148.6	6.76323
110	11	148.7	8.88076
111	11.1	148.8	7.723
112	11.2	148.9	8.38625
113	11.3	149	7.09468
114	11.4	149.1	8.03574
115	11.5	149.2	6.56573
116	11.6	149.3	8.32014
117	11.7	149.4	6.30976
118	11.8	149.5	9.01047
119	11.9	149.6	8.2138
120	12	149.7	7.8641
121	12.1	149.8	5.79474
122	12.2	149.9	8.97815
123	12.3	150	7.99701
124	12.4	150.1	7.68254
125	12.5	150.2	7.44752
126	12.6	150.3	7.85572
127	12.7	150.4	8.43428
128	12.8	150.5	6.81584
129	12.9	150.6	7.98125
130	13	150.7	6.94435
131	13.1	150.8	7.30294
132	13.2	150.9	7.4839
133	13.3	151	8.48035
134	13.4	151.1	7.20907
135	13.5	151.2	7.23965
136	13.6	151.3	7.82661
137	13.7	151.4	9.13473
138	13.8	151.5	7.31068
139	13.9	151.6	8.43494
140	14	151.7	7.25962
141	14.1	151.8	8.21692
142	14.2	151.9	9.69462
143	14.3	152	8.93798
144	14.4	152.1	7.44312
145	14.5	152.2	7.40641
146	14.6	152.3	9.85627
147	14.7	152.4	8.53392
148	14.8	152.5	6.74028
149	14.9	152.6	9.16751
150	15	152.7	7.10674
151	15.1	152.8	8.12968
152	15.2	152.9	7.2729
153	15.3	153	9.53479
154	15.4	153.1	6.48871
155	15.5	153.2	8.07886
156	15.6	153.3	6.54286
157	15.7	153.4	8.43065
158	15.8	153.5	6.51255
159	15.9	153.6	6.92264
160	16	153.7	7.73247
161	16.1	153.8	7.84024
162	16.2	153.9	6.41777
163	16.3	154	7.39088
164	16.4	154.1	6.22962
165	16.5	154.2	7.2181
166	16.6	154.3	6.13477
167	16.7	154.4	8.05937
168	16.8	154.5	5.47955
169	16.9	154.6	6.33529
170	17	154.7	5.24275
171	17.1	154.8	5.35905
172	17.2	154.9	6.49171
173	17.3	155	6.30055
174	17.4	155.1	5.92615
175	17.5	155.2	7.69693
176	17.6	155.3	4.92059
177	17.7	155.4	6.02609
178	17.8	155.5	5.78313
179	17.9	155.6	5.412
180	18	155.7	6.19284
181	18.1	155.8	6.52635
182	18.2	155.9	5.52396
183	18.3	156	7.92554
184	18.4	156.1	5.9226
185	18.5	156.2	8.52205
186	18.6	156.3	6.53187
187	18.7	156.4	8.18626
188	18.8	156.5	6.74782
189	18.9	156.6	7.50227
190	19	156.7	10.7291
191	19.1	156.8	7.49693
192	19.2	156.9	10.0647
193	19.3	157	10.0502
194	19.4	157.1	7.47801
195	19.5	157.2	9.42624
196	19.6	157.3	7.6974
197	19.7	157.4	8.37935
198	19.8	157.5	9.75759
199	19.9	157.6	6.66578
200	20	157.7	8.65008
