Time	X	Y
0	2.49107	30.4865
0.1	2.25	30.0811
0.2	2.25	30.1622
0.3	2.25	28.2973
0.4	2.25	28.2973
0.5	2.08929	26.7568
0.6	1.60714	25.1351
0.7	1.60714	25.1351
0.8	1.52679	22.9459
0.9	1.52679	22.9459
1	1.60714	21.8919
1.1	1.52679	21.2432
1.2	1.28571	20.3514
1.3	1.20536	19.7838
1.4	1.20536	19.7838
1.5	1.52679	17.9189
1.6	1.52679	17.9189
1.7	1.36607	17.2703
1.8	1.28571	17.1081
1.9	1.28571	17.1081
2	1.44643	17.027
2.1	1.44643	17.027
2.2	1.44643	17.1081
2.3	1.44643	17.2703
2.4	1.44643	17.1892
2.5	1.44643	17.1892
2.6	1.44643	17.1892
2.7	1.44643	17.1892
2.8	1.44643	17.1892
2.9	1.36607	16.2973
3	1.60714	16.4595
3.1	1.60714	16.4595
3.2	2.16964	15.3243
3.3	2.41071	14.7568
3.4	3.05357	13.6216
3.5	3.69643	12.3243
3.6	4.41964	11.5946
3.7	4.66071	11.5946
3.8	5.0625	11.3514
3.9	5.0625	11.3514
4	5.14286	11.6757
4.1	5.14286	12.0811
4.2	5.22321	12.3243
4.3	5.70536	12.7297
4.4	6.75	13.1351
4.5	8.19643	13.8649
4.6	9.16071	14.5135
4.7	9.16071	14.5135
4.8	10.9286	15.7297
4.9	10.9286	15.7297
5	10.9286	15.6486
5.1	10.9286	15.6486
5.2	11.3304	15.8919
5.3	11.5714	16.0541
5.4	11.5714	16.0541
5.5	13.5	18.2432
5.6	13.5	18.2432
5.7	14.7054	19.7027
5.8	15.3482	20.4324
5.9	16.4732	21.973
6	16.9554	22.8649
6.1	17.2768	23.1081
6.2	17.2768	23.1081
6.3	19.6875	23.8378
6.4	19.6875	23.8378
6.5	22.3393	24.8919
6.6	22.3393	24.8919
6.7	24.0268	25.2973
6.8	24.8304	25.7027
6.9	25.9554	26.5946
7	26.8393	27
7.1	26.8393	27
7.2	27.7232	27.6486
7.3	28.2857	28.1351
7.4	29.3304	29.5946
7.5	30.6161	30.6486
7.6	30.6161	30.6486
7.7	31.7411	31.9459
7.8	31.7411	31.9459
7.9	32.3036	32.5135
8	32.4643	32.5135
8.1	32.625	32.6757
8.2	32.625	32.6757
8.3	32.625	32.5946
8.4	32.625	32.5946
8.5	32.5446	32.5135
8.6	32.5446	32.5135
8.7	32.625	32.5946
8.8	32.625	32.5946
8.9	32.625	32.5946
9	32.625	32.5946
9.1	32.5446	32.5135
9.2	32.5446	32.5135
9.3	32.4643	32.4324
9.4	32.4643	32.4324
9.5	32.4643	32.4324
9.6	32.4643	32.4324
9.7	32.5446	32.4324
9.8	32.7857	32.6757
9.9	32.9464	33.0811
10	32.7857	33.2432
10.1	32.7857	33.3243
10.2	32.7857	33.3243
10.3	32.9464	33.5676
10.4	32.9464	33.5676
10.5	33.0268	33.5676
10.6	33.0268	33.4865
10.7	33.0268	33.4865
10.8	32.7054	32.9189
10.9	32.7054	32.9189
11	32.7054	32.2703
11.1	32.7857	31.3784
11.2	32.7857	31.3784
11.3	33.75	29.027
11.4	33.75	29.027
11.5	34.6339	25.7027
11.6	34.5536	24.6486
11.7	34.4732	22.4595
11.8	34.5536	20.1081
11.9	34.5536	20.1892
12	34.3125	16.7027
12.1	34.3125	16.7027
12.2	34.3929	14.3514
12.3	34.2321	12
12.4	34.2321	12
12.5	34.2321	8.02703
12.6	34.2321	8.02703
12.7	33.9911	6.40541
12.8	33.9107	5.67568
12.9	34.0714	4.2973
13	33.9911	4.13514
13.1	33.9911	4.13514
13.2	33.9107	4.21622
13.3	33.9107	4.2973
13.4	33.9107	4.2973
13.5	33.9107	4.2973
13.6	33.9911	4.2973
13.7	33.9911	4.21622
13.8	33.9911	4.21622
13.9	33.9911	4.62162
14	34.0714	4.7027
14.1	34.1518	4.7027
14.2	34.1518	4.7027
14.3	34.2321	4.7027
14.4	34.2321	4.7027
14.5	34.3125	4.54054
14.6	34.3125	4.54054
14.7	34.3125	4.37838
14.8	34.2321	4.13514
14.9	33.8304	4.21622
15	33.6696	4.2973
15.1	33.1071	4.21622
15.2	32.4643	3.56757
15.3	32.4643	3.56757
15.4	31.9821	2.91892
15.5	31.7411	2.59459
15.6	31.1786	2.18919
15.7	30.6964	2.27027
15.8	30.4554	2.10811
15.9	30.2946	1.94595
16	30.375	1.86486
16.1	30.375	1.86486
16.2	30.2946	1.86486
16.3	30.2946	1.86486
16.4	30.375	1.86486
16.5	30.4554	1.86486
16.6	30.4554	1.86486
16.7	30.4554	1.86486
16.8	30.5357	1.86486
16.9	30.5357	1.86486
17	30.5357	1.78378
17.1	30.5357	1.78378
17.2	30.2946	1.7027
17.3	29.4911	1.78378
17.4	29.25	2.10811
17.5	28.125	2.35135
17.6	26.3571	2.51351
17.7	26.3571	2.51351
17.8	23.0625	3.72973
17.9	23.0625	3.72973
18	21.0536	4.62162
18.1	19.8482	5.59459
18.2	18.4821	6.48649
18.3	17.7589	7.13514
18.4	16.9554	8.75676
18.5	16.7143	9.40541
18.6	16.7143	9.40541
18.7	16.2321	11.3514
18.8	16.2321	12.1622
18.9	15.9911	13.8649
19	15.75	14.5135
19.1	15.5893	15
19.2	15.1875	16.0541
19.3	14.7857	16.7838
19.4	14.7857	16.7838
19.5	13.4196	18.4054
19.6	12.2946	19.7838
19.7	11.25	21.0811
19.8	10.5268	21.6486
19.9	9.48214	22.7027
20	9	23.8378
20.1	9	23.8378
20.2	8.51786	24.8919
20.3	8.27679	25.2973
20.4	8.11607	26.7568
20.5	8.19643	28.2973
20.6	7.95536	29.6757
20.7	7.875	30.4054
20.8	7.95536	31.2973
20.9	7.875	31.5405
21	7.875	31.5405
21.1	7.3125	31.9459
21.2	6.75	32.2703
21.3	5.94643	32.5135
21.4	5.54464	32.7568
21.5	4.82143	33.1622
21.6	4.41964	33.0811
21.7	4.41964	33.0811
21.8	4.41964	33
21.9	4.41964	33
22	4.33929	32.9189
22.1	4.25893	32.9189
22.2	4.25893	32.9189
22.3	4.41964	32.8378
22.4	4.33929	32.7568
22.5	4.33929	32.7568
22.6	4.33929	32.7568
22.7	4.33929	32.8378
22.8	4.33929	32.8378
22.9	4.41964	32.8378
23	4.41964	32.8378
23.1	4.41964	32.8378
23.2	4.41964	32.7568
23.3	4.41964	32.7568
23.4	4.41964	32.8378
