Index Frequency Offset
1 1 5.4
2 1.73205 8.30919
3 2.23607 10.132
4 2.64575 11.3887
5 3 12.32
6 3.31662 13.0552
7 3.60555 13.6487
8 3.87298 14.1567
9 4.12311 14.5744
10 4.3589 14.9211
11 4.58258 15.2243
12 4.79583 15.4885
13 5 15.72
14 5.19615 15.9076
15 5.38516 16.0552
16 5.56776 16.1956
17 5.74456 16.2974
18 5.91608 16.4002
19 6.08276 16.4575
20 6.245 16.522
21 6.40312 16.5758
22 6.55744 16.6015
23 6.7082 16.6161
24 6.85565 16.6254
25 7 16.64
26 7.14143 16.6316
27 7.28011 16.6101
28 7.4162 16.6015
29 7.54983 16.5856
30 7.68115 16.5543
31 7.81025 16.5103
32 7.93725 16.4861
33 8.06226 16.4423
34 8.18535 16.4072
35 8.30662 16.3561
36 8.42615 16.3102
37 8.544 16.2563
38 8.66025 16.206
39 8.77496 16.1556
40 8.88819 16.1056
41 9 16.04
42 9.11043 15.9864
43 9.21954 15.9355
44 9.32738 15.8809
45 9.43398 15.8189
46 9.53939 15.768
47 9.64365 15.7092
48 9.74679 15.6457
49 9.84886 15.5822
50 9.94987 15.5256
