Index Frequency Rin
1 0.707107 63.4104
2 1.58114 63.8052
3 2.12132 64.2697
4 2.54951 64.7083
5 2.91548 65.0925
6 3.24037 65.4082
7 3.53553 65.6447
8 3.80789 65.7948
9 4.06202 65.8564
10 4.30116 65.8313
11 4.52769 65.7245
12 4.74342 65.5429
13 4.94975 65.2942
14 5.14782 64.9867
15 5.33854 64.6284
16 5.52268 64.2268
17 5.70088 63.789
18 5.87367 63.3214
19 6.04152 62.8296
20 6.20484 62.3187
21 6.36396 61.7932
22 6.5192 61.2568
23 6.67083 60.7129
24 6.81909 60.1643
25 6.96419 59.6135
26 7.10634 59.0625
27 7.24569 58.5131
28 7.38241 57.9667
29 7.51665 57.4246
30 7.64853 56.8877
31 7.77817 56.3568
32 7.90569 55.8327
33 8.03119 55.3159
34 8.15475 54.8067
35 8.27647 54.3055
36 8.39643 53.8125
37 8.51469 53.3279
38 8.63134 52.8518
39 8.74643 52.3843
40 8.86002 51.9252
41 8.97218 51.4747
42 9.08295 51.0327
43 9.19239 50.5991
44 9.30054 50.1737
45 9.40744 49.7566
46 9.51315 49.3475
47 9.61769 48.9463
48 9.72111 48.5528
49 9.82344 48.167
50 9.92472 47.7886
