Index Frequency Offset
1 1.41421 1.74644
2 2 2.48
3 2.44949 3.33026
4 2.82843 4.25288
5 3.16228 5.20234
6 3.4641 6.13838
7 3.74166 7.02261
8 4 7.86
9 4.24264 8.61931
10 4.47214 9.30405
11 4.69042 9.92424
12 4.89898 10.4605
13 5.09902 10.9605
14 5.2915 11.3974
15 5.47723 11.7944
16 5.65685 12.1458
17 5.83095 12.4681
18 6 12.74
19 6.16441 12.986
20 6.32456 13.2047
21 6.48074 13.3793
22 6.63325 13.5504
23 6.78233 13.71
24 6.9282 13.8368
25 7.07107 13.9522
26 7.2111 14.0374
27 7.34847 14.1308
28 7.48331 14.2052
29 7.61577 14.2669
30 7.74597 14.3133
31 7.87401 14.3521
32 8 14.4
33 8.12404 14.4216
34 8.24621 14.4487
35 8.3666 14.4597
36 8.48528 14.4786
37 8.60233 14.4747
38 8.7178 14.4821
39 8.83176 14.4791
40 8.94427 14.4681
41 9.05539 14.4549
42 9.16515 14.4486
43 9.27362 14.4215
44 9.38083 14.4085
45 9.48683 14.387
46 9.59166 14.357
47 9.69536 14.3403
48 9.79796 14.301
49 9.89949 14.2851
