Index Frequency Rin
1 1.22474 47.2608
2 1.87083 50.09
3 2.34521 52.645
4 2.73861 54.6989
5 3.08221 56.2808
6 3.39116 57.4745
7 3.67423 58.3565
8 3.937 58.9877
9 4.1833 59.4152
10 4.41588 59.6757
11 4.63681 59.7988
12 4.84768 59.8082
13 5.04975 59.7233
14 5.24404 59.5604
15 5.43139 59.333
16 5.61249 59.0525
17 5.78792 58.7285
18 5.95819 58.3691
19 6.12372 57.9812
20 6.2849 57.5707
21 6.44205 57.1424
22 6.59545 56.7006
23 6.74537 56.2489
24 6.89202 55.7901
25 7.03562 55.3268
26 7.17635 54.8612
27 7.31437 54.3951
28 7.44983 53.9298
29 7.58288 53.4667
30 7.71362 53.0067
31 7.84219 52.5508
32 7.96869 52.0996
33 8.09321 51.6536
34 8.21584 51.2134
35 8.33667 50.7793
36 8.45577 50.3514
37 8.57321 49.9302
38 8.68907 49.5156
39 8.80341 49.1079
40 8.91628 48.7069
41 9.02774 48.3129
42 9.13783 47.9257
43 9.24662 47.5454
44 9.35414 47.1718
45 9.46044 46.805
46 9.56556 46.4448
47 9.66954 46.0911
48 9.77241 45.7439
49 9.87421 45.4031
50 9.97497 45.0684
